taxon	projection	kingdom	phylum	class	order	family	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
Bacteria||Patescibacteria||Microgenomatia||Candidatus Roizmanbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Roizmanbacteria	Incertae Sedis	-1.04441648883935e-06	-1.54250515130472e-06	-3.45217873567627e-06	-1.01073439637165e-05	-1.00944051285235e-05	-1.18729728344197e-05	-9.28133663595014e-06	3.34960009110187e-06
Bacteria||Patescibacteria||Microgenomatia||Candidatus Shapirobacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Shapirobacteria	Incertae Sedis	1.06249015804458e-06	2.33744657652444e-06	7.77164990584955e-07	-2.78986510136436e-06	1.23945147118676e-06	-4.54736975304231e-06	-4.9254282023842e-06	9.89819930873652e-06
Bacteria||Patescibacteria||Microgenomatia||Candidatus Woesebacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woesebacteria	Incertae Sedis	-4.70419477600933e-05	-9.84055522561064e-05	-4.65090808027688e-05	-0.000144690243391598	-3.73471314523083e-05	-0.000152320712148143	-0.000242778499221868	8.07299000175305e-05
Bacteria||Patescibacteria||Microgenomatia||Candidatus Woykebacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Woykebacteria	Incertae Sedis	-1.70434313922466e-06	-2.12627985402535e-05	-1.17500600455833e-05	-1.47273710087442e-05	-4.24567912517382e-06	-1.02338101778175e-05	-2.64954682822526e-05	1.20184272959283e-05
Bacteria||Patescibacteria||Microgenomatia||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Incertae Sedis	Incertae Sedis	-1.51676031188477e-06	9.80568087026634e-07	-7.75998828370623e-06	-1.16815086801106e-05	-3.8466838187722e-06	-1.16258373840129e-05	-9.93306261758595e-06	-1.21359032776622e-06
Bacteria||Patescibacteria||Microgenomatia||NA||NA	full	Bacteria	Patescibacteria	Microgenomatia	NA	NA	-5.55569099173434e-08	-2.38639895972691e-06	-6.38345370225526e-07	-9.87282211346426e-06	1.32146128950625e-06	-1.04765881812815e-05	-6.5192913289392e-06	-1.74934144845743e-07
Bacteria||Patescibacteria||NA||NA||NA	full	Bacteria	Patescibacteria	NA	NA	NA	-3.24640976869357e-05	-1.56135319737811e-05	-2.30758655341263e-05	-6.87853138750153e-05	-4.0704986627497e-05	-0.000113444848686505	-4.75463997291916e-05	5.63622654426049e-05
Bacteria||Patescibacteria||Parcubacteria||32-520||Incertae Sedis	full	Bacteria	Patescibacteria	Parcubacteria	32-520	Incertae Sedis	0	0	0	0	0	0	0	0
Bacteria||Patescibacteria||Parcubacteria||Candidatus Adlerbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Parcubacteria	Candidatus Adlerbacteria	Incertae Sedis	-1.82867958783694e-05	-6.05888663407333e-05	-3.03718726369526e-05	-8.90301873605738e-05	-5.8714346976768e-05	-0.000104864974482311	-0.00011278613057992	3.54456460113323e-05
Bacteria||Patescibacteria||Parcubacteria||Candidatus Azambacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Parcubacteria	Candidatus Azambacteria	Incertae Sedis	-1.98477220454109e-05	-4.92581700363895e-05	-7.54871654159458e-05	-7.36088577815977e-05	1.89126872106246e-05	-0.00011745523874324	-0.000180717465651156	-4.53924812666409e-07
